date,total_shift_W2,factor_0_contribution,factor_1_contribution,factor_2_contribution,residual,factor_r_squared
2018-01-03,0.0038519486029075247,0.005957535244626645,0.001851396656552623,-0.0004985559484142546,0.17832808143724743,0.8216719185627526
2018-01-04,0.004166726654150791,-0.0018219696915681342,-0.005403774179250497,-0.0027410705013269114,0.4921714463190807,0.5078285536809195
2018-01-05,0.003544158024464847,0.0031904451113007083,0.0026617265229649115,-0.0044793908225601,0.1698743251391278,0.8301256748608736
2018-01-08,0.0027653186059048195,0.0016831632318229904,0.0034841714194637666,-0.0018478486969908258,0.45420741618018556,0.545792583819814
2018-01-09,0.004713178552466026,-0.0008863028546918962,-0.0025266453311614543,-0.007606015569320699,0.2031609032789652,0.7968390967210329
2018-01-10,0.004453152953212793,0.004172532054203375,0.004408727187213354,0.0036397201154701082,0.17194482855288373,0.8280551714471168
2018-01-11,0.0012073235254998803,0.000492460002140486,-0.000866244459994681,-0.00022904972011068,0.8217179863983907,0.17828201360161
2018-01-12,0.0019325830574293762,-0.0026589366219349465,-9.432771336678649e-05,-0.0007714694097131683,0.3834408418104652,0.6165591581895353
2018-01-15,0.0012640866036083454,0.0015219135310316208,-0.0006846136137584815,-0.0009331665984039465,0.43629379283712,0.56370620716288
2018-01-16,0.0021650671937344184,-0.002293467183961917,0.0015213131988029917,0.0010586145329723607,0.5474737313439915,0.4525262686560083
2018-01-17,0.0029442092033582492,0.002353816219918907,0.003541007457703354,0.0022564703713620175,0.23498328242980981,0.765016717570191
2018-01-18,0.0004528761507243008,-2.72609757663079e-05,0.0001021618559640269,-0.00026128237301107233,0.9357482146800615,0.06425178531993825
2018-01-19,0.006549078339287285,-0.00019202011387548055,0.007352484423934276,0.0057619141720339955,0.5743428959555225,0.4256571040444772
2018-01-22,0.001555360835589746,-0.001436621751456341,-0.0009544426320891109,0.0004355432734561948,0.566930574971039,0.4330694250289605
2018-01-23,0.004293410080515787,-0.006745684306751603,0.0017096085843969948,-0.0021803229092768983,0.12146168105755994,0.8785383189424409
2018-01-24,0.0016248423145228058,0.0001545347817118926,-0.0007308034920128497,-0.0021821807335294617,0.5144891233707768,0.48551087662922254
2018-01-25,0.002073207023522267,-0.00011539616339347071,-0.0030997057389226795,0.0011734744670917393,0.3635124909947103,0.6364875090052903
2018-01-26,0.002681130577876498,-0.004113190707434447,0.001700319702970602,-0.00035739610619775524,0.17104134087194212,0.8289586591280577
2018-01-29,0.0017008779733284558,-0.002126489121455446,-0.000735816957876941,0.0009759290955410508,0.4356802885357819,0.5643197114642179
2018-01-30,0.0014662395831825797,0.00017022282202362797,-0.002161444094261523,0.0002661891502922677,0.4345104969908685,0.5654895030091309
2018-01-31,0.00272769246568191,-0.0038859266548546233,-0.0003748729238329583,-0.0017426133140732636,0.30138737557193207,0.6986126244280682
2018-02-01,0.0018781545325538868,-0.0022021648776813546,-0.0003601299155726875,0.00015962441720111207,0.6695422126811994,0.3304577873188005
2018-02-02,0.0030340817176603497,-0.003875380154412231,0.0028670965261193833,0.001585970511595647,0.2899543260347798,0.7100456739652203
2018-02-05,0.004314916198999139,-0.0028389617302305744,-0.0057170512640512304,-0.0036815117251963454,0.14175021133845633,0.8582497886615437
2018-02-06,0.0009741603096955169,-0.0008337668103208703,0.0006481609893344626,-0.0008838298214756435,0.6196996005883855,0.38030039941161453
2018-02-07,0.0009533078631844039,-0.00011557391745182065,0.0007903598577119917,-0.0011877279045995354,0.5060494069807109,0.49395059301928856
2018-02-08,0.010129360564572044,0.008685111045954074,-0.0023497736118162915,0.014859693922624763,0.4116149054378784,0.5883850945621223
2018-02-09,0.009828796288565745,0.013036821165802794,0.009590248796842692,-0.0027263612638825678,0.04416182177840122,0.9558381782215988
2018-02-12,0.0035688887532490474,0.00014558382324024016,0.0013114308947375147,-0.005472411509351764,0.48893356299964175,0.5110664370003581
2018-02-13,0.0036029818700100656,-1.2894853014887753e-05,-0.005791839297103342,-0.0016399009825214285,0.2123213816604761,0.7876786183395246
2018-02-14,0.0199262733223049,0.016431083272695563,-0.02659653256842708,-0.013690079034492372,0.3769366969461868,0.6230633030538133
2018-02-15,0.005133722189044099,0.007926410999225877,-0.001423463227568716,-0.0016906970088092451,0.13054512620092784,0.8694548737990716
2018-02-16,0.004952749117955873,0.007207277903799915,0.002694068419055355,0.002396754613584405,0.07531616894339133,0.9246838310566093
2018-02-19,0.005686380405710137,0.006616078647809034,-0.00040965002925835627,0.007377715104423869,0.06525149911772976,0.9347485008822709
2018-02-20,0.02037633711281142,0.025586655458452005,0.02202197694425001,-0.004808242326355717,0.09834115798059373,0.9016588420194066
2018-02-21,0.0031774773258039994,-0.004405416084013053,-0.001106639607509577,0.0005593071089116489,0.2549173503653437,0.745082649634656
2018-02-22,0.023025903032921218,0.03740940114902459,0.004172070420735351,0.008654799476012215,0.014664843250005832,0.9853351567499947
2018-02-23,0.0064550870458033194,0.009159576501484024,-0.005194631899040357,0.0025782764829409355,0.1881853777096093,0.8118146222903911
2018-02-26,0.003205406715884116,-0.001536412032604058,-0.004609402205244054,2.0373727351487978e-05,0.2726039836683215,0.7273960163316775
2018-02-27,0.0036347953569178773,-0.0020952151278036115,0.005404508172593542,-0.002887944273322374,0.1412879237578003,0.8587120762421995
2018-02-28,0.008425681774948878,-0.011922539469239527,-0.006824319561189759,-0.0007527019812085749,0.11894152172519179,0.8810584782748059
2018-03-01,0.005878257943469294,0.009263868061217205,-0.0013894765223668327,-0.0028968882022801365,0.07161228143996456,0.9283877185600353
2018-03-02,0.00542309047645114,0.0028691117058111857,-0.008998024969164955,-0.0005380508496565469,0.1250809036928776,0.8749190963071222
2018-03-05,0.007186344573163845,-0.0061230786121483265,0.01032215806804801,0.00399525021184832,0.0632202492504762,0.9367797507495229
2018-03-06,0.010827538404299295,0.017193899816065717,0.003879147620137251,0.0041247293454080135,0.10735800698606512,0.8926419930139347
2018-03-07,0.009846701317355844,0.015595123108041883,0.0022182763260113337,0.0028307108775928423,0.08089747579145568,0.9191025242085441
2018-03-08,0.024524484674758207,-0.040791793360938064,0.0030664014957117068,0.006436193817305772,0.018398985088813324,0.9816010149111875
2018-03-09,0.014753016707094753,0.016743330341604464,0.013883791212611577,-0.011543813252086876,0.2206591942803101,0.7793408057196898
2018-03-12,0.010819166020324223,0.009990072975907725,-0.016637299250905978,-0.0018357352650908859,0.029040540788656477,0.9709594592113451
